Time,Team 1,Score 1,Team 2,Score 2,Outcome Only,Tournament,Number of Players
8/7/2024 20:10:00,the dodgefathers (Su24),3,Ice To Go (Su24),1,,,8
8/7/2024 20:30:00,Citrus on My Face (Su24),2,Midnight Snack (Su24),2,,,8
8/7/2024 20:30:00,Idina Mintzels (Su24),1,GAYtors (Su24),4,,,8
8/7/2024 20:50:00,Big Eggplant Energy (Su24),1,C*Mquats (Su24),5,,,8
8/7/2024 20:50:00,bratz (Su24),2,Ice To Go (Su24),2,,,8
8/7/2024 21:10:00,GAYtors (Su24),2,the dodgefathers (Su24),2,,,8
8/7/2024 21:10:00,S*xual Tealing (Su24),2,Royal Pain in the Ice (Su24),3,,,8
8/14/2024 19:30:00,Ice To Go (Su24),1,Citrus on My Face (Su24),5,,,8
8/14/2024 19:30:00,Red For Filth (Su24),3,bratz (Su24),1,,,8
8/14/2024 19:50:00,C*Mquats (Su24),3,Royal Pain in the Ice (Su24),3,,,8
8/14/2024 19:50:00,S*xual Tealing (Su24),3,the dodgefathers (Su24),2,,,8
8/14/2024 20:10:00,Ice To Go (Su24),3,Idina Mintzels (Su24),2,,,8
8/14/2024 20:10:00,Midnight Snack (Su24),3,Big Eggplant Energy (Su24),2,,,
8/14/2024 20:30:00,GAYtors (Su24),5,Citrus on My Face (Su24),1,,,8
8/14/2024 20:30:00,the dodgefathers (Su24),2,Red For Filth (Su24),3,,,8
8/14/2024 20:50:00,bratz (Su24),1,C*Mquats (Su24),4,,,8
8/14/2024 20:50:00,S*xual Tealing (Su24),4,Idina Mintzels (Su24),0,,,8
8/14/2024 21:10:00,GAYtors (Su24),3,Midnight Snack (Su24),1,,,8
8/14/2024 21:10:00,Royal Pain in the Ice (Su24),3,Big Eggplant Energy (Su24),1,,,
8/21/2024 19:30:00,Ice To Go (Su24),1,GAYtors (Su24),3,,,8
8/21/2024 19:30:00,Red For Filth (Su24),3,Citrus on My Face (Su24),1,,,8
8/21/2024 19:50:00,bratz (Su24),1,Big Eggplant Energy (Su24),3,,,8
8/21/2024 19:50:00,the dodgefathers (Su24),0,Royal Pain in the Ice (Su24),6,,,8
8/21/2024 20:10:00,C*Mquats (Su24),3,Idina Mintzels (Su24),2,,,8
8/21/2024 20:10:00,Midnight Snack (Su24),1,Ice To Go (Su24),4,,,8
8/21/2024 20:30:00,Big Eggplant Energy (Su24),2,GAYtors (Su24),3,,,8
8/21/2024 20:30:00,Citrus on My Face (Su24),3,S*xual Tealing (Su24),1,,,8
8/21/2024 20:50:00,Idina Mintzels (Su24),1,Red For Filth (Su24),4,,,8
8/21/2024 20:50:00,Royal Pain in the Ice (Su24),4,bratz (Su24),0,,,8
8/21/2024 21:10:00,C*Mquats (Su24),3,the dodgefathers (Su24),1,,,8
8/21/2024 21:10:00,S*xual Tealing (Su24),1,Midnight Snack (Su24),2,,,8
10/9/2024 18:40:00,Clementops (F24),3,Froggays (F24),2,,,8
